,id,host_acceptance_rate,host_is_superhost,neighbourhood,latitude,longitude,room_type,accommodates,bedrooms,beds,amenities,price_in_dollar,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews_l30d,review_scores_rating,instant_bookable,price_per_person,minimum_price,discount_per_5_days_booked,discount_per_10_days_booked,discount_per_30_and_more_days_booked,service_cost,available,five_day_dollar_price
174,,,,,,,,,,,,,,,,,,,,,,,,,,0.4821917808219178,900.0
175,1259343.0,0.85,False,Watergraafsmeer,52.3378,4.95391,Entire home/apt,2.0,1.0,1.0,8.0,115.0,3.0,7.0,True,0.0,2.0,4.49,False,57.5,345.0,0.08,0.13,0.2,4.99,0.4465753424657534,575.013698630137
176,1260229.0,1.0,False,Centrum-West,52.383,4.89161,Entire home/apt,2.0,1.0,3.0,6.0,190.0,3.0,30.0,True,1.0,0.0,4.74,False,95.0,570.0,0.07,0.15,0.15,4.99,0.005479452054794521,861.2328767123288
177,1271700.0,0.44,False,De Baarsjes - Oud-West,52.36062,4.86901,Entire home/apt,4.0,2.0,3.0,10.0,300.0,3.0,14.0,True,0.0,1.0,4.86,False,75.0,900.0,0.13,0.23,0.23,4.99,0.00821917808219178,1500.0
178,1272352.0,1.0,False,Bos en Lommer,52.37537,4.86019,Private room,2.0,1.0,1.0,7.0,127.0,3.0,100.0,True,0.0,4.0,4.67,True,63.5,381.0,0.07,0.13,0.15,4.99,0.473972602739726,654.3013698630137
179,1291054.0,1.0,False,Noord-West,52.42397,4.88864,Hotel room,2.0,1.0,1.0,1.0,81.0,3.0,60.0,True,1.0,1.0,4.51,True,40.5,243.0,0.06,0.11,0.16,4.99,0.7808219178082192,398.1917808219178
180,1311373.0,0.25,False,De Baarsjes - Oud-West,52.37108,4.87389,Entire home/apt,4.0,2.0,6.0,2.0,280.0,4.0,1125.0,True,0.0,0.0,4.89,True,70.0,1120.0,0.09,0.22,0.2,4.99,0.0136986301369863,1445.2876712328766
181,1315392.0,0.6599999999999999,True,Centrum-West,52.38123,4.88619,Entire home/apt,2.0,1.0,1.0,4.0,140.0,7.0,180.0,True,2.0,1.0,4.75,False,70.0,980.0,0.06,0.16,0.15,4.99,0.5123287671232877,532.5342465753424
182,1316990.0,0.53,True,Centrum-West,52.38145,4.8849,Entire home/apt,4.0,2.0,2.0,8.0,196.0,7.0,180.0,True,2.0,2.0,4.82,False,49.0,1372.0,0.06,0.17,0.19,4.99,0.07945205479452055,913.082191780822
183,1320353.0,0.25,True,Centrum-West,52.3815,4.88538,Entire home/apt,2.0,1.0,1.0,1.0,110.0,7.0,180.0,True,12.0,0.0,4.9,False,55.0,770.0,0.07,0.14,0.18,4.99,0.684931506849315,566.986301369863
184,1320438.0,0.17,True,Centrum-West,52.3814,4.88553,Entire home/apt,2.0,1.0,1.0,11.0,125.0,7.0,180.0,True,4.0,0.0,4.88,False,62.5,875.0,0.05,0.15,0.18,4.99,0.6904109589041096,625.0
185,1321735.0,0.62,True,Centrum-West,52.38295,4.88765,Entire home/apt,3.0,2.0,2.0,6.0,160.0,7.0,180.0,True,10.0,0.0,4.62,False,53.33,1120.0,0.07,0.14,0.19,4.99,0.6465753424657534,540.3013698630137
186,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,875.0
187,1331157.0,0.29,False,IJburg - Zeeburgereiland,52.34861,5.00784,Entire home/apt,4.0,2.0,3.0,9.0,193.0,3.0,14.0,True,0.0,0.0,4.87,False,48.25,579.0,0.08,0.18,0.2,4.99,0.4410958904109589,963.013698630137
188,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,320.0
189,1338633.0,0.38,False,Oud-Noord,52.39319,4.9435,Private room,1.0,1.0,1.0,5.0,59.0,4.0,5.0,True,1.0,1.0,4.19,False,59.0,236.0,0.06,0.14,0.16,2.99,0.2876712328767123,295.0
190,1353468.0,0.75,False,Noord-Oost,52.42831,4.97889,Entire home/apt,6.0,3.0,4.0,14.0,233.0,3.0,30.0,True,2.0,1.0,4.91,False,38.83,699.0,0.11,0.18,0.25,4.99,0.0547945205479452,1110.5479452054794
191,1354077.0,0.0,False,Centrum-Oost,52.37141,4.90353,Entire home/apt,4.0,2.0,2.0,5.0,135.0,3.0,1125.0,True,0.0,0.0,4.43,False,33.75,405.0,0.07,0.15,0.2,4.99,0.0,675.0
192,1364013.0,0.27,False,De Baarsjes - Oud-West,52.36055,4.8532,Entire home/apt,4.0,2.0,4.0,5.0,111.0,4.0,23.0,True,14.0,0.0,4.7,False,27.75,444.0,0.05,0.16,0.19,4.99,0.4547945205479452,591.986301369863
193,1366058.0,0.56,False,Oud-Noord,52.38295,4.9152,Entire home/apt,4.0,2.0,2.0,9.0,159.0,5.0,29.0,True,0.0,0.0,4.83,False,39.75,795.0,0.08,0.12,0.19,4.99,0.0,792.7397260273973
194,1375601.0,0.67,False,De Baarsjes - Oud-West,52.36104,4.85778,Private room,2.0,1.0,1.0,6.0,187.0,3.0,365.0,True,5.0,2.0,5.0,False,93.5,561.0,0.08,0.24,0.23,4.99,0.10410958904109589,933.6986301369863
195,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,367.8493150684931
196,1383369.0,0.68,False,Westerpark,52.38069,4.86826,Entire home/apt,3.0,2.0,1.0,1.0,100.0,4.0,500.0,True,5.0,2.0,4.75,False,33.33,400.0,0.08,0.16,0.17,4.99,0.0136986301369863,510.958904109589
197,1383494.0,0.29,False,Oostelijk Havengebied - Indische Buurt,52.36482231096632,4.9332502266687,Entire home/apt,2.0,1.0,1.0,8.0,60.0,30.0,31.0,True,0.0,0.0,4.71,False,30.0,1800.0,0.05,0.11,0.16,2.99,0.4246575342465753,443.3013698630137
198,1394668.0,0.9,False,De Baarsjes - Oud-West,52.37154,4.852,Private room,2.0,1.0,2.0,5.0,88.0,3.0,7.0,True,0.0,5.0,4.9,False,44.0,264.0,0.06,0.11,0.15,4.99,0.0,439.24657534246575
